"gu","year","area","price"
"서초구",2002,163.95,1155
"서초구",2002,35.22,275
"서초구",2002,152.48,1180
"서초구",2003,45.96,316
"서초구",2003,111.92,1762
"서초구",2003,35.31,315
"서초구",2003,111.32,1920
"서초구",2003,164.38,1920
"서초구",2003,58.48,485
"서초구",2003,164.87,1825
"서초구",2003,188,1620
"서초구",2003,164.8,1820
"서초구",2003,84.91,1290
"서초구",2003,45.26,360
"서초구",2003,214.92,2500
"서초구",2003,194.92,1930
"서초구",2003,244.76,3150
"서초구",2004,220.55,2400
"서초구",2004,220.55,2600
"서초구",2004,101.81,1390
"서초구",2004,77.39,715
"서초구",2004,163.36,1780
"서초구",2004,77.2,650
"서초구",2004,138.96,1700
"서초구",2004,84.99,1370
"서초구",2005,29.6,352
"서초구",2005,136.22,1400
"서초구",2005,83.11,950
"서초구",2005,29.6,347
"서초구",2005,84.96,1500
"서초구",2005,133.14,1340
"서초구",2005,205.2,2150
"서초구",2005,125.79,1450
"서초구",2005,129.17,1580
"서초구",2005,29.6,338
"서초구",2005,74.87,940
"서초구",2005,81.76,1010
"서초구",2005,84.99,1200
"서초구",2005,84.34,1085
"서초구",2005,84.92,875
"서초구",2006,186.72,1690
"서초구",2006,120.18,2245
"서초구",2006,84.98,1560
"서초구",2006,84.95,975
"서초구",2006,120.18,2170
"서초구",2006,74.3,1700
"서초구",2006,79.3,1030
"서초구",2006,84.55,1180
"서초구",2006,124.27,1335
"서초구",2006,30.39,497
"서초구",2006,186.72,1900
"서초구",2006,95.66,1300
"서초구",2006,155.45,1780
"서초구",2007,77.74,870
"서초구",2008,154.96,1095
"서초구",2009,59.98,1910
"서초구",2009,59.89,1990
"서초구",2009,95.66,1750
"서초구",2009,132.18,3300
"서초구",2009,84.96,1900
"서초구",2009,84.93,3100
"서초구",2009,194.52,3600
"서초구",2009,222.76,4800
"서초구",2009,84.94,2160
"서초구",2009,59.96,1845
"서초구",2009,59.98,1950
"서초구",2009,84.94,2650
"서초구",2009,59.98,1565
"서초구",2009,136.65,3150
"서초구",2009,216.49,3900
"서초구",2009,84.93,2850
"서초구",2009,165.05,3500
"서초구",2009,115.65,2960
"서초구",2009,204.41,2740
"서초구",2009,84.94,2550
"서초구",2009,144.31,1750
"서초구",2010,106.15,2270
"서초구",2010,84.97,1975
"서초구",2010,59.99,1900
"서초구",2010,59.99,1625
"서초구",2010,59.99,1700
"서초구",2010,59.99,1600
"서초구",2010,59.97,1225
"서초구",2010,84.97,1895
"서초구",2010,84.97,1660
"서초구",2012,84.96,1250
"서초구",2012,59.97,1025
"서초구",2012,163.39,1850
"서초구",2012,84.95,1000
"서초구",2013,84.84,1100
"서초구",2013,84.91,1780
